,LATITUDE,LONGITUDE,ADDRESS,TO_WORK,TO_HOME
24,38.933143325248956,-77.02383641172624,"3505 GEORGIA AVENUE NW Washington, DC",50.05,54.9
25,38.89861493087166,-76.91663125479892,"704 EASTERN AVENUE NE Washington, DC",60.45,70.45
26,38.88800353547815,-76.96155944285901,"3200 EAST CAPITOL STREET NE Washington, DC",47.766666666666666,60.1
27,38.865704799375386,-76.95532491670264,"3600 ALABAMA AVENUE SE Washington, DC",54.65,60.18333333333333
28,38.92157777772772,-77.04245130565698,"2434 18TH STREET NW Washington, DC",38.21666666666667,45.266666666666666
29,38.8492964298021,-77.01399405292089,"245 MURRAY LANE SW Washington, DC",50.333333333333336,59.61666666666667
30,38.87477574973887,-76.98726700226408,"1301 WATER STREET SE Washington, DC",41.81666666666667,52.833333333333336
31,38.84838409342353,-76.98811001280563,"1100 ALABAMA AVENUE SE Washington, DC",46.68333333333333,57.13333333333333
32,38.90862280171089,-76.96769622403319,"3501 NEW YORK AVENUE NE Washington, DC",54.25,68.2
33,38.92535228830319,-77.04689648101112,"2634 ADAMS MILL ROAD NW Washington, DC",38.333333333333336,44.1
34,38.87243604499696,-76.94585468752729,"4001 MASSACHUSETTS AVENUE SE Washington, DC",52.35,59.016666666666666
35,38.943270182659795,-77.06099108920876,"2950 VAN NESS STREET NW Washington, DC",40.9,57.85
36,38.93494545812916,-77.08906773700042,"4500 NEWARK STREET NW Washington, DC",34.166666666666664,51.833333333333336
37,38.93166087182257,-76.98102300729134,"1701 LAWRENCE STREET NE Washington, DC",53.483333333333334,69.43333333333334
38,38.93032563906309,-77.10614230558409,"5209 CATHEDRAL AVENUE NW Washington, DC",31.3,48.083333333333336
39,38.82094250814497,-77.038139730049,"1048 FOLEY AVENUE SW Washington, DC",38.25,47.38333333333333
40,38.92343511880546,-77.01924176488795,"2435 6TH STREET NW Washington, DC",49.75,57.18333333333333
41,38.92833507328723,-77.10364230532772,"2816 ARIZONA TERRACE NW Washington, DC",34.06666666666667,51.13333333333333
42,38.885185121512045,-77.05272228718081,"5 DANIEL C FRENCH DRIVE SW Washington, DC",29.3,39.55
43,38.93377613222337,-76.9693956796461,"2615 NEWTON STREET NE Washington, DC",54.9,71.23333333333333
44,38.903546613593086,-77.01980438663531,"500 NEW YORK AVENUE NW Washington, DC",39.4,53.15
45,38.98713576529751,-77.03412769118776,"1425 LEEGATE ROAD NW Washington, DC",40.35,60.18333333333333
46,38.94250245284257,-77.07135945627907,"3669 UPTON STREET NW Washington, DC",37.43333333333333,54.96666666666667
47,38.903103679271936,-76.94880345855054,"3762 HAYES STREET NE Washington, DC",54.38333333333333,64.86666666666666
48,38.932994231799896,-76.97140314039463,"2415 MONROE STREET NE Washington, DC",54.45,71.03333333333333
49,38.90032458895962,-77.01542466934607,"303 H STREET NW Washington, DC",39.733333333333334,49.7
50,38.92457764930219,-76.97428936627946,"2034 EVARTS STREET NE Washington, DC",53.53333333333333,67.43333333333334
51,38.95280878534198,-77.00204442093926,"200 GALLOWAY STREET NE Washington, DC",55.85,64.41666666666667
52,38.90669192620626,-76.95338259868896,"3584 HAYES STREET NE Washington, DC",52.483333333333334,66.08333333333333
53,38.93970656481131,-77.08104350916655,"4001 NEBRASKA AVENUE NW Washington, DC",36.03333333333333,53.45
54,38.892264485155295,-76.95414241806564,"168 35TH STREET NE Washington, DC",54.1,61.35
55,38.94755784569269,-76.98507891731256,"4501 SOUTH DAKOTA AVENUE NE Washington, DC",56.61666666666667,67.51666666666667
56,38.94133366058004,-77.04807274849058,"1985 UPSHUR STREET NW Washington, DC",42.11666666666667,51.13333333333333
57,38.864860732508,-76.95655482683934,"2129 36TH PLACE SE Washington, DC",55.8,58.63333333333333
